name,prompt,negative_prompt,description,category
BODY_Pregnant_Gravid,"pregnant, pregnant belly, gravid, (large belly:1.3), round belly, baby bump, swollen belly, maternal, expecting","flat stomach, slim belly",Pregnant body state. REQUIRES BODY_Base_Herm for futa context.,BODY
BODY_Shortstack,"(shortstack:1.3), short stature, large breasts small frame, wide hips short height, petite but curvy, small but busty, compact curvy body","tall, average height, flat",Shortstack. Combos: RACE_Goblin_Female; BODY_Thicc_Voluptuous; THEME_Size_Difference.,BODY
BODY_Tall_Amazon,"(tall:1.3), (amazon body:1.2), towering height, long legs, dominant stature, height advantage, powerful build","short, petite, average height",Tall amazon body. Combos: THEME_Size_Difference; FUTA_THEME_Femdom; BODY_Muscular_Fit.,BODY
BODY_Tanned,"(tanned skin:1.3), (tan lines:1.2), sun-kissed skin, bronzed skin, dark tan, bikini tan lines, brown skin from sun, golden brown skin","pale, white skin, albino, no tan",Tanned skin with optional tan lines. Combos: SCENE_Beach; CLOTHES_Micro_Bikini; ARCHETYPE_Gyaru. Note: for dark-skinned races use RACE styles instead.,BODY
BODY_Thicc_Voluptuous,"voluptuous, thick thighs, wide hips, huge breasts, (curvy body:1.3), plump, soft body, hourglass figure, heavy breasts, meaty thighs, oppai, (smooth skin:1.1)","skinny, thin, slender, petite, flat chest, narrow hips, bony, underage",Thick; curvy; voluptuous body type,BODY
BREASTS_Flat_Chest,"(flat chest:1.4), (no breasts:1.3), flat breasts, no chest, board flat, smooth chest, adult flat chest","large breasts, huge breasts, medium",Flat chest adult. Ensure adult character in prompt. Combos: BODY_Petite_Small; THEME_Size_Difference.,BREASTS
BREASTS_Huge_Focus,"(huge breasts:1.5), (gigantic breasts:1.4), (massive tits:1.4), oppai, breast focus, enormous breasts, sagging breasts, heavy breasts, bouncing breasts","flat chest, small breasts, medium breasts",Extremely large breasts,BREASTS
BREASTS_Lactating,"lactating, breast milk, milk, leaking breasts, milk drops, dripping milk, engorged breasts, swollen nipples, lactation, milk squirt","dry, no milk",Lactating breasts,BREASTS
BREASTS_Medium,"(medium breasts:1.2), average chest, normal breast size, moderate breasts, natural size breasts, proportional chest","huge, gigantic, flat, extremely large",Medium / average breasts. Universal natural size.,BREASTS
BREASTS_Natural_Sagging,"(sagging breasts:1.3), (natural droop:1.2), hanging breasts, drooping naturally, gravity-affected, natural sag, realistic heavy breasts","perky, uplifted, implants, perfect round",Natural sagging breasts. Combos: BODY_BBW_Plus_Size; BODY_Pregnant_Gravid; ARCHETYPE_Onee_San.,BREASTS
BREASTS_Nipples_Detailed,"detailed nipples, (erect nipples:1.3), hard nipples, puffy nipples, large areola, prominent nipples, perky nipples, nipple focus","flat, inverted, hidden, covered",Detailed nipple focus,BREASTS
BREASTS_Nipples_Inverted,"(inverted nipples:1.4), (retracted nipples:1.3), concave nipples, sunken nipples, indented nipples","erect nipples, protruding, normal nipples",Inverted nipples. Combos: BREASTS_Nipples_Detailed for detail focus.,BREASTS
BREASTS_Nipples_Pierced,"pierced nipples, nipple rings, (nipple piercing:1.2), silver nipple ring, metal piercing, decorated nipples, body jewelry","no piercings, covered",Pierced nipples,BREASTS
BREASTS_Squeeze_Grope,"(breast groping:1.3), (squeezing breasts:1.2), hands on breasts, kneading breasts, fondling, breast massage, groped chest","no touching, untouched, solo no hands",Breast groping / squeeze. Combos: BREASTS_Huge_Focus; POSE_Missionary; GROUP setups.,BREASTS
CAMERA_Ass_Focus,"ass focus, (butt focus:1.3), rear view, ass shot, butt close up, from behind view, backside focus, booty shot","front view, face focus",Ass rear focus,CAMERA
CAMERA_Breast_Focus,"breast focus, (chest focus:1.3), boob shot, cleavage focus, tit close up, chest detail, breasts framed","face focus, full body",Breast focus,CAMERA
CAMERA_Dutch_Angle,"(dutch angle:1.3), (tilted camera:1.2), canted framing, rotated frame, diagonal horizon, slanted perspective, dramatic tilt","straight horizon, level camera, flat angle",Dutch angle. Combos: STYLE_Dark_Fantasy; NTR scenarios; STYLE_Noir_BW.,CAMERA
CAMERA_Face_Close,"face focus, (facial close up:1.3), close up on face, expression focus, head shot, portrait, face detail","full body, distant",Face close up,CAMERA
CAMERA_From_Above,"from above, bird's eye view, overhead view, looking down, top down view, aerial view, downward angle","from below, eye level",From above angle,CAMERA
CAMERA_From_Below,"from below, low angle, upward view, looking up, worm's eye view, shot from ground, beneath view, under view","from above, eye level",From below angle,CAMERA
CAMERA_Full_Body,"(full body shot:1.3), (head to toe:1.2), entire body visible including face, complete figure in frame, whole body, full figure portrait, face and body visible","close up, cropped, partial, headless, legs only, no face",Full body view,CAMERA
CAMERA_Genital_Focus,"(crotch focus:1.3), (genital focus:1.3), close up genitals, intimate detail shot, crotch close up, between legs focus, macro genitals","face focus, full body, distant",Crotch/genital close-up. Works for futa (cock+pussy or cock) and femboy (cock). Combos: GENITALS_*; FUTA_GENITALS_*.,CAMERA
CAMERA_Looking_Back,"(looking back:1.3), (looking back at viewer:1.2), turned head, glancing over shoulder, backward glance, head turned to look behind, rear-facing head turn","facing forward, front view, looking away from viewer",Character looking back at viewer. Works with any rear-facing pose. Combos: POSE_Doggystyle; POSE_Bent_Over; CAMERA_Ass_Focus; POSE_All_Fours_Display.,CAMERA
CAMERA_Over_Shoulder,"(over shoulder POV:1.3), (behind shoulder angle:1.2), camera behind character shoulder, looking over shoulder, perspective from behind and side","front face view, direct front POV",Over-shoulder angle. Combos: ACTION_Penetration_Vaginal from behind; POSE_Doggystyle; NTR scenes.,CAMERA
CAMERA_POV,"POV, (first person view:1.3), from viewer perspective, viewer POV, your POV, seen from viewer, POV angle, looking at viewer","third person, side view, distant",POV first person,CAMERA
CAMERA_Penetration_Xray,"x-ray view, (cross section:1.4), internal view, see-through, penis inside view, cutaway, transparent view, internal penetration visible, anatomical view","external only, normal view",X-ray cross section,CAMERA
CAMERA_Side_Profile,"side view, profile, side angle, from side, lateral view, sideways, profile view, side perspective","front view, from behind",Side profile,CAMERA
CAMERA_Split_Screen_Worship,"split screen, panel divide, (left panel: cheek kiss, affectionate:1.2), (right panel: cock worship, fellatio:1.2), contrast panels, diptych, BREAK split composition, comparison","single frame, no split",Split screen cheek to cock worship,CAMERA
CAMERA_Taker_POV,"(taker pov:1.3), (receiver pov:1.2), from below during sex, looking up at partner, bottom perspective, receiving end viewpoint, submissive camera angle","top perspective, from above, dominant POV",POV from the receiving/bottom perspective — looking up at the person on top. Combos: POSE_Cowgirl; ACTION_Facesitting; CAMERA_From_Below; THEME_Femdom.,CAMERA
CAMERA_Three_Quarter,"(three quarter view:1.3), 3/4 angle, between side and front, diagonal portrait angle, slightly turned, 45 degree face angle","direct front, direct side, full profile",3/4 portrait angle — most flattering for character portraits. Combos: ARCHETYPE_*; CAMERA_Full_Body.,CAMERA
CAMERA_Viewfinder_Rec,"recording, REC icon overlay, viewfinder interface, (camera pov:1.2), battery indicator, filming, phone recording, video interface, recording ui","no overlay, screenshot, no interface, camera head, head replaced by camera, camera for head, camera body, robot camera head",Recording viewfinder overlay,CAMERA
CLOTHES_FEMBOY_Apron_Naked,"1boy, femboy, (naked apron:1.3), apron only, nude under apron, bare back visible, apron strings, nothing underneath","female only, fully dressed, shirt",Naked apron on femboy. Domestic seduction. Combos: FEMBOY_ARCHETYPE_Maid; SCENE_Kitchen.,CLOTHES
CLOTHES_FEMBOY_Bikini_Micro,"1boy, femboy, (micro bikini:1.3), tiny bikini, revealing swimsuit, string bikini male, femboy in bikini","female only, normal swimsuit",Micro bikini femboy. Beach/pool. Combos: FUTA_SCENE_Hot_Spring; FEMBOY_BODY_Bubble_Butt.,CLOTHES
CLOTHES_FEMBOY_Bunny_Suit,"1boy, femboy, bunny suit, leotard, fishnet stockings, bow tie, bunny ears, bunny outfit male","female only, regular clothes",Bunny suit femboy. Combos: FEMBOY_ARCHETYPE_Bunny_Boy; FEMBOY_STATE_Confident_Smug.,CLOTHES
CLOTHES_FEMBOY_Cage_Panties,"1boy, femboy, (cage panties:1.3), strappy underwear, cage-style panty, open front panties, revealing male underwear, mesh cage underwear","female only, normal panties, boxers",Cage/strappy panties. Shows everything through straps. Combos: FEMBOY_THEME_Sub_Femboy; FUTA_GENITALS_Bulge.,CLOTHES
CLOTHES_FEMBOY_Catsuit_Tight,"1boy, femboy, (tight catsuit:1.3), full body suit, form fitting suit, spandex bodysuit, latex catsuit male","female only, loose clothes",Tight catsuit. Shows figure. Combos: FUTA_GENITALS_Bulge; FEMBOY_BODY_Athletic_Lean.,CLOTHES
CLOTHES_FEMBOY_Chastity_Cage,"1boy, femboy, (chastity cage:1.4), (cock cage:1.3), locked cage, metal chastity device, caged penis, small cage on small cock","female only, free, unlocked, no cage",Chastity cage — peak femboy sub accessory. Combos: FEMBOY_THEME_Sub_Femboy; FUTA_THEME_Orgasm_Control.,CLOTHES
CLOTHES_FEMBOY_Cheerleader,"1boy, femboy, cheerleader uniform, short skirt, pom poms, crop top uniform, cheerleader outfit male","female only, pants, masculine clothes",Femboy cheerleader. Combos: FEMBOY_BODY_Bubble_Butt; FEMBOY_ACTION_Teasing_Display.,CLOTHES
CLOTHES_FEMBOY_Collar_Only,"1boy, femboy, (collar:1.3), collar as only clothing, nude with collar, neck collar, leather collar, slave collar, otherwise naked","female only, fully dressed, no collar",Collar as sole clothing. Pure sub aesthetic. Combos: FEMBOY_THEME_Sub_Femboy; ACCESSORY_Collar_Chain.,CLOTHES
CLOTHES_FEMBOY_Crop_Top_Only,"1boy, femboy, (crop top:1.3), cropped shirt, belly exposed, short top, midriff bare, no bottom wear","female only, full shirt, long shirt",Crop top only — no bottoms. Exposes midriff and below. Combos: FEMBOY_BODY_Slender; FEMBOY_ACTION_Teasing_Display.,CLOTHES
CLOTHES_FEMBOY_Crop_Top_Shorts,"1boy, femboy, crop top, short shorts, midriff showing, casual femboy outfit, tight shorts, belly exposed","female only, long clothes, masculine",Casual crop top + shorts. Everyday femboy. Combos: FEMBOY_BODY_Slender; FEMBOY_STATE_Confident_Smug.,CLOTHES
CLOTHES_FEMBOY_Fishnet_Stockings,"1boy, femboy, (fishnet stockings:1.3), fishnet legwear, net tights, fishnet on legs male, femboy fishnet",female only,Fishnet stockings. Combos: FEMBOY_CLOTHES_Thigh_Highs layered; FEMBOY_ARCHETYPE_Succubus_Male.,CLOTHES
CLOTHES_FEMBOY_Fundoshi,"1boy, femboy, (fundoshi:1.3), japanese loincloth, traditional underwear, minimal cloth coverage, femboy in fundoshi, tied fundoshi","female only, modern underwear, fully covered",Fundoshi on femboy. Festival/onsen setting. Combos: FEMBOY_ARCHETYPE_Shrine_Boy; SCENE_Hot_Spring.,CLOTHES
CLOTHES_FEMBOY_Garter_Belt,"1boy, femboy, (garter belt:1.3), garter straps, suspender belt, garters on thighs, lace garter, garter with clips","female only, no garter, pants",Garter belt — classic lingerie piece. Layer with FEMBOY_CLOTHES_Thigh_Highs. Combos: FEMBOY_CLOTHES_Lingerie_Lace.,CLOTHES
CLOTHES_FEMBOY_Gothic_Lolita,"1boy, femboy, gothic lolita, black frilled dress, EGL, elaborate gothic outfit, petticoat, lolita fashion male","female only, casual, masculine",Gothic lolita femboy. Combos: FEMBOY_BODY_Slender; FEMBOY_STATE_Confident_Smug.,CLOTHES
CLOTHES_FEMBOY_Hoodie_Oversized,"1boy, femboy, oversized hoodie, loose hoodie, thighs peeking out, long sleeve oversized, no pants visible","female only, tight clothes",Oversized hoodie no pants. Classic teasing. Combos: FEMBOY_BODY_Slender; FEMBOY_STATE_Shy_Blushing.,CLOTHES
CLOTHES_FEMBOY_Kneesocks_Striped,"1boy, femboy, (striped knee socks:1.3), colorful striped socks, thigh high striped stockings, rainbow socks, mismatched socks","female only, plain socks, no socks",Striped knee/thigh socks — colorful femboy signature. Layer with other clothes. Combos: FEMBOY_CLOTHES_Tennis_Skirt.,CLOTHES
CLOTHES_FEMBOY_Latex_Bodysuit,"1boy, femboy, (latex bodysuit:1.3), (shiny latex:1.2), skin-tight latex, full body latex suit, rubber suit, glossy black latex","female only, loose clothes, matte",Full latex bodysuit. Shows every curve. Combos: FEMBOY_THEME_Sub_Femboy; FUTA_GENITALS_Bulge visible through latex.,CLOTHES
CLOTHES_FEMBOY_Lingerie_Lace,"1boy, femboy, (lace lingerie:1.3), satin panties, lace bra-like top, femboy in lingerie, delicate underwear male","female only, masculine underwear",Lace lingerie femboy. Combos: FEMBOY_BODY_Otokonoko; FEMBOY_STATE_Shy_Blushing; FEMBOY_THEME_Trap_Reveal.,CLOTHES
CLOTHES_FEMBOY_Maid,"1boy, femboy, (frilly maid uniform:1.3), apron, maid headdress, maid outfit male, femboy maid, ruffled","female only, masculine clothes",Maid uniform on femboy. Most iconic. Combos: FEMBOY_ARCHETYPE_Maid; FEMBOY_STATE_Shy_Blushing.,CLOTHES
CLOTHES_FEMBOY_Micro_Skirt,"1boy, femboy, (micro skirt:1.3), extremely short skirt, barely covering, dangerously short, mini skirt on boy, ass peeking","female only, long skirt, pants, full coverage",Micro skirt — barely covering. Accidental reveal territory. Combos: FEMBOY_ACTION_Teasing_Display; FUTA_GENITALS_Bulge.,CLOTHES
CLOTHES_FEMBOY_Oversized_Shirt,"1boy, femboy, (oversized shirt:1.3), boyfriend shirt, shirt too big, bare legs, shirt hanging off shoulder, long shirt no pants","female only, fitting clothes, pants visible",Oversized shirt — boyfriend shirt look. Lazy cute. Combos: FEMBOY_STATE_Shy_Blushing; SCENE_Bedroom.,CLOTHES
CLOTHES_FEMBOY_Sailor_Uniform,"1boy, femboy, sailor uniform, school sailor suit male, white and blue, sailor collar, femboy school uniform","female only, modern clothes",Sailor school uniform. Combos: FEMBOY_BODY_Slender; FEMBOY_THEME_Otokonoko.,CLOTHES
CLOTHES_FEMBOY_School_Blazer,"1boy, femboy, blazer school uniform, school skirt, school tie, blazer and skirt male, femboy school outfit","female only, pants, masculine",School blazer + skirt. Combos: FEMBOY_BODY_Slender or Petite; FEMBOY_THEME_Trap_Reveal.,CLOTHES
CLOTHES_FEMBOY_Shimapan,"1boy, femboy, (shimapan:1.4), (striped panties:1.3), blue and white stripes, anime striped underwear, classic shimapan, stripe pattern panties","female only, plain panties, boxers, masculine underwear",Shimapan — iconic striped panties. Peak anime femboy. Combos: FEMBOY_BODY_Otokonoko; FEMBOY_THEME_Trap_Reveal.,CLOTHES
CLOTHES_FEMBOY_Sukumizu,"1boy, femboy, (sukumizu:1.4), (school swimsuit:1.3), one-piece swimsuit, navy blue swimsuit, japanese school swimsuit on boy, name tag swimsuit","female only, bikini, trunks, masculine swimwear",Sukumizu (school swimsuit) on femboy. Classic JP fetish. Combos: FEMBOY_BODY_Slender; SCENE_Pool.,CLOTHES
CLOTHES_FEMBOY_Tennis_Skirt,"1boy, femboy, tennis skirt, short pleated skirt, white tennis outfit, pleated mini skirt male","female only, pants, long skirt",Tennis/pleated mini skirt. Easy access. Combos: FEMBOY_BODY_Bubble_Butt; FEMBOY_ACTION_Teasing_Display.,CLOTHES
CLOTHES_FEMBOY_Thigh_Highs,"1boy, femboy, (thigh high stockings:1.4), (thighhighs:1.3), over-knee stockings, stocking tops, femboy thigh highs, stockings on male","female only, no stockings",Thigh highs — femboy signature item. Combos: any FEMBOY_CLOTHES for layering; FEMBOY_BODY_Slender.,CLOTHES
CLOTHES_FEMBOY_Yukata_Kimono,"1boy, femboy, yukata, kimono, japanese traditional garb male, femboy kimono, off-shoulder kimono, summer yukata","female only, modern clothes",Yukata/kimono femboy. Combos: FUTA_SCENE_Hot_Spring; FEMBOY_STATE_Shy_Blushing.,CLOTHES
CLOTHES_FUTA_Apron_Naked,"futanari, (naked apron:1.3), apron only, nude under apron, bare back, cock visible from side, nothing underneath apron","fully dressed, shirt, male",Naked apron on futa. Domestic + lewd. Combos: SCENE_Kitchen; FUTA_GENITALS_Erect_Display (from side).,CLOTHES
CLOTHES_FUTA_Corset_Open,"futanari, (corset:1.3), (open front corset:1.2), waist cincher, breasts exposed above corset, cock exposed below, laced corset","fully covered, normal clothes, male","Open corset — breasts exposed above, cock below. Combos: FUTA_ARCHETYPE_Dominatrix; FUTA_BODY_Thicc.",CLOTHES
CLOTHES_FUTA_Crotchless_Panties,"futanari, (crotchless panties:1.3), open crotch panties, accessible panties, exposed genitals through opening, lace crotchless","normal panties, fully covered, male",Crotchless panties — futa cock accessible. Combos: FUTA_GENITALS_Erect_Display; FUTA_CLOTHES_Lingerie.,CLOTHES
CLOTHES_FUTA_Fundoshi,"futanari, (fundoshi:1.3), japanese loincloth, traditional underwear, minimal cloth coverage, bulge through fundoshi, tied fundoshi","modern underwear, fully covered, male",Fundoshi — Japanese loincloth. Cultural + lewd. Combos: RACE_FUTA_Oni; SCENE_Hot_Spring; RACE_FUTA_Fox_Kitsune.,CLOTHES
CLOTHES_FUTA_Latex_Harness,"futanari, (latex harness:1.3), body harness, strappy leather, chest harness, crotchless harness, dominatrix harness outfit","fully covered, normal clothes, male",Latex harness — futa dom outfit. Cock exposed through harness. Combos: FUTA_ARCHETYPE_Dominatrix; FUTA_THEME_Femdom.,CLOTHES
CLOTHES_FUTA_Micro_Bikini,"futanari, (micro bikini:1.3), tiny bikini, string bikini, minimal coverage, bikini barely covering, bulge visible through bikini bottom","fully covered, normal swimsuit, male",Micro bikini on futa. Bulge emphasis. Combos: FUTA_GENITALS_Bulge; SCENE_Beach; SCENE_Pool.,CLOTHES
CLOTHES_FUTA_Sheer_Dress,"futanari, (sheer dress:1.3), (see-through dress:1.2), transparent fabric, visible body through dress, nothing underneath, cock outline visible","opaque, thick fabric, male",Sheer/transparent dress. Everything visible. Combos: FUTA_GENITALS_Erect_Display; FUTA_ARCHETYPE_Succubus.,CLOTHES
CLOTHES_FUTA_Slingshot_Bikini,"futanari, (slingshot bikini:1.3), one-piece string, sling swimsuit, minimal fabric, extreme revealing swimwear, futa sling bikini barely containing","fully covered, normal swimsuit, male",Slingshot bikini on futa. Maximum exposure. Combos: FUTA_GENITALS_Bulge; FUTA_BODY_Thicc.,CLOTHES
CLOTHES_FUTA_Stockings_Garter,"futanari, (stockings:1.3), (garter belt:1.2), thigh high stockings, garter straps, lace top stockings, stocking clips, elegant legwear","bare legs, no stockings, male",Stockings with garter — elegant futa legwear. Combos: FUTA_ARCHETYPE_Maid; FUTA_ARCHETYPE_Nurse.,CLOTHES
EXPRESSION_Angry,"(angry expression:1.3), (furious face:1.2), scowling, rage, anger, bared teeth, glaring, aggressive expression, fierce anger, wrathful","calm, happy, neutral, submissive",Angry expression. Combos: ACTION_Angry_Dragon; THEME_Femdom; ARCHETYPE_Demon_Queen. Conflicts: STATE_Ahegao_Extreme.,EXPRESSION
EXPRESSION_Contemptuous,"(contemptuous expression:1.3), sneering, curled lip, disdainful, looking down with contempt, withering look, haughty stare","respectful, friendly, warm",Contempt — stronger than Disapproval. Combos: THEME_Femdom; ARCHETYPE_Dominatrix; EXPRESSION_Smug.,EXPRESSION
EXPRESSION_Crying_Smiling,"(crying while smiling:1.4), (tears with smile:1.3), sad smile, bittersweet expression, tears down smiling face, emotional conflict face","purely happy, purely sad, neutral",Crying while smiling — Japanese emotional contrast trope. Combos: NTR scenarios; THEME_Corruption_Moral.,EXPRESSION
EXPRESSION_Disapproval,"(disapproving expression:1.3), judging look, condescending stare, (frowning:1.2), eyebrow raised, disgusted side-eye, scornful, contemptuous, looking down at, judgmental face","happy, positive, friendly, approving",Disapproval / condemnation expression. Combos: EXPRESSION_Smug; THEME_Femdom; NTR scenarios; ARCHETYPE_Demon_Queen.,EXPRESSION
EXPRESSION_Embarrassed,"embarrassed, (blushing:1.3), covering face, shy expression, ashamed, flustered, looking away, red-faced, embarrassed smile","confident, calm, proud, neutral",Embarrassed expression,EXPRESSION
EXPRESSION_Fear,"(fear expression:1.3), (terrified face:1.2), scared, frightened, wide fearful eyes, trembling lips, terror expression","calm, confident, neutral, brave",Fear / terror. Combos: THEME_Non_Con; THEME_Monster_Tentacle; NTR_Caught_In_Act.,EXPRESSION
EXPRESSION_Fellatio_Face,"(fellatio face:1.3), (open mouth waiting:1.2), tongue out ready, mouth open wide, expecting oral, receptive mouth expression, jaw open inviting","closed mouth, neutral, actual fellatio in progress","Fellatio-ready face — mouth open, tongue out, waiting. The expression without the action. Combos: CAMERA_POV; ACTION_Dick_Touch_Face; POSE_On_Knees.",EXPRESSION
EXPRESSION_Fucked_Silly,"fucked silly, ahegao, (eyes rolled back:1.3), tongue out, drooling, mind break expression, stupid face, overwhelmed expression, derp","composed, sane, neutral, scared",Fucked silly expression,EXPRESSION
EXPRESSION_Inviting,"(inviting expression:1.3), (come hither look:1.2), beckoning, seductive invitation, bedroom eyes invitation, finger beckoning, flirtatious inviting gaze","rejecting, angry, scared, neutral, distant",Inviting / 'come here' expression. Combos: STATE_Lustful_Face; THEME_Teasing; POSE_Spread_Legs; SCENE_Bedroom.,EXPRESSION
EXPRESSION_Kissing_Face,"(kissing face:1.3), (puckered lips:1.2), duck lips, lips puckered for kiss, pouty lips, kiss-ready mouth, blowing a kiss","open mouth, neutral lips, teeth showing",Puckered / kiss-ready lips. Combos: CAMERA_Face_Close; THEME_Vanilla_Romance; ACTION_Kissing.,EXPRESSION
EXPRESSION_Lustful,"(lustful face:1.3), heavy breathing, flushed cheeks, bitten lip, (heart eyes:1.2), seductive expression, desire in eyes, bedroom eyes, craving look","neutral, disgusted, afraid, calm",Visible desire — heart eyes; bitten lip; seductive expression. More intense than STATE_Lustful_Face. Combos: STATE_Blushing_Flushed; LIGHTING_Soft_Warm.,EXPRESSION
EXPRESSION_Mischievous,"(mischievous grin:1.3), (playful smirk:1.2), impish smile, knowing smile, troublemaker expression, sly smile, playful devious look","serious, scared, neutral, crying",Mischievous / impish grin. Combos: ARCHETYPE_Catgirl; THEME_Teasing.,EXPRESSION
EXPRESSION_Nervous,"(nervous expression:1.3), (anxious face:1.2), biting lip nervously, worried eyes, uncertain, fidgeting, uneasy smile, tense","confident, calm, relaxed, bold",Nervous / anxious expression. Combos: THEME_Virginity; THEME_Student_Teacher; EXPRESSION_Embarrassed; STATE_Blushing_Flushed.,EXPRESSION
EXPRESSION_Smug,"smug face, (smirk:1.2), confident expression, self-satisfied, condescending smile, smug grin, superior look, overconfident","humble, neutral, afraid, crying",Smug expression,EXPRESSION
EXPRESSION_Surprised,"surprised expression, (wide eyes:1.2), shocked face, open mouth shock, startled, caught off guard, unexpected, jaw drop","calm, neutral, composed, expected",Surprised expression,EXPRESSION
EXPRESSION_Vacant,"(vacant expression:1.3), (empty stare:1.2), hollow gaze, staring into nothing, disconnected expression, dissociated look, blank unfocused eyes","alert, focused, emotional, engaged",Vacant / empty stare — subtler than STATE_Mind_Break. Combos: THEME_Somnophilia; THEME_Mind_Control; STATE_Hypnotized.,EXPRESSION
FLUIDS_Anal_Creampie,"(anal creampie:1.4), (cum dripping from ass:1.3), cum leaking from anus, semen from asshole, ass dripping cum, anal internal cum","vaginal creampie, clean, dry",Anal creampie. Combos: ACTION_Penetration_Anal; GENITALS_Anus_Focus; POSE_Ass_Up_Face_Down.,FLUIDS
FLUIDS_Body_Cumshot,"cum on body, (cum on breasts:1.2), cum on stomach, cum on ass, body covered in cum, semen on skin, cum on thighs, messy body","clean body, no cum, dry",Cum on body,FLUIDS
FLUIDS_Cum_In_Mouth,"(cum in mouth:1.4), (mouthful of cum:1.3), semen in mouth, mouth filled with cum, cumshot in mouth, oral cum reception, cum on tongue, open mouth with cum","clean mouth, no cum, swallowed",Cum in mouth. Combos: ACTION_Oral_Blowjob; ACTION_Deepthroat; STATE_Pleasure_Ecstasy.,FLUIDS
FLUIDS_Cum_Inflation,"(cum inflation:1.4), (inflated belly:1.3), bloated stomach, belly bulge from cum, stomach distension, cum-filled belly, swollen belly, excessive internal cumshot","flat stomach, normal belly, empty",Cum belly inflation,FLUIDS
FLUIDS_Cum_On_Feet,"(cum on feet:1.4), (semen on toes:1.3), cum between toes, cum on soles, cum dripping from feet, sticky feet, cum-covered feet","clean feet, no cum, dry",Cum on feet/toes. Combos: ACTION_Footjob; CLOTHES_Bare_Feet; FLUIDS_Body_Cumshot.,FLUIDS
FLUIDS_Cum_On_Hair,"(cum on hair:1.3), (semen in hair:1.2), cum dripping on hair, cum covered hair, hair matted with cum","clean hair, no cum, dry hair",Cum on hair. Combos: FLUIDS_Excessive_Cum; FLUIDS_Facial_Cumshot; STATE_Exhausted_Used.,FLUIDS
FLUIDS_Excessive_Cum,"(excessive cum:1.4), (cum everywhere:1.3), covered in cum, cum bath, drenched in semen, cum puddle, bukkake, cum explosion, thick cum, cum dripping, cum covered body","clean, dry, no cum, minimal",Excessive cum coverage,FLUIDS
FLUIDS_FUTA_Body_Dump,"futanari, (cum all over body:1.3), cum covered, semen everywhere, body drenched in cum, covered in white, messy","clean, dry, female only, no penis",Full body cum dump. Combos: FUTA_THEME_On_Female; FUTA_ACTION_Cumshot; GROUP_Gangbang.,FLUIDS
FLUIDS_FUTA_Creampie_Giving,"futanari, (creampie:1.3), (cum inside:1.3), futa creampie, cum dripping from pussy after futa, internal cumshot, dripping cream","external, facial, female only, no penis",Futa giving creampie to partner. Combos: FUTA_ACTION_Penetrating_Female; FLUIDS_Creampie_Dripping.,FLUIDS
FLUIDS_FUTA_Creampie_Receiving,"futanari, (full herm creampie:1.3), cum dripping from futa pussy, receiving creampie, filled with cum, futa pussy dripping","giving, female only, no penis, dick only",Futa receiving creampie (needs FUTA_GENITALS_Full_Herm). Combos: FUTA_ACTION_Vaginal_Receiving.,FLUIDS
FLUIDS_FUTA_Excessive_Cum,"futanari, (excessive cum:1.4), (cum flooding:1.3), unrealistic amount of cum, cum overflow, pool of cum, drowning in semen","small amount, minimal, female only, no penis",Excessive cum volume. Fantasy/hentai extreme. Combos: FUTA_BODY_Hyper; FUTA_GENITALS_Hyper_Dick.,FLUIDS
FLUIDS_FUTA_Facial_Giving,"futanari, (facial cumshot:1.3), (cum on face:1.3), futa cumming on partner's face, face covered in futa cum, facial from futa","on body, self facial, female only, no penis",Futa giving facial to partner. Combos: FUTA_ACTION_Blowjob_Receiving; FUTA_ACTION_Deepthroat_Giving.,FLUIDS
FLUIDS_FUTA_Pre_Dripping,"futanari, (pre-cum:1.3), (dripping:1.2), pre-ejaculate, leaking tip, wet cock, glistening pre-cum, clear fluid dripping","cum, ejaculation, dry, female only, no penis",Pre-cum drip. Arousal indicator. Subtle erotic marker. Combos: FUTA_GENITALS_Cum_Drip; FEMBOY_STATE_Aroused_Embarrassed.,FLUIDS
FLUIDS_FUTA_Self_Facial,"futanari, (self facial:1.3), (cum on own face:1.3), futa cumming on own face, self splatter, autofacial, own cum on face","partner facial, external cum, female only, no penis",Futa cumming on own face. Combos: FUTA_ACTION_Self_Suck; FUTA_BODY_Hyper.,FLUIDS
FLUIDS_FUTA_Swallowing,"futanari, swallowing cum, gulping semen, throat swallow, post blowjob swallow, (swallowing:1.3), futa cum swallowed by partner","spitting, refusal, female only, no penis",Swallowing futa cum. Combos: FUTA_ACTION_Blowjob_Receiving; FUTA_ACTION_Deepthroat_Giving.,FLUIDS
FLUIDS_Facial_Cumshot,"facial, cum on face, (cumshot on face:1.3), covered face, cum facial, semen on face, messy face, cum splattered face","clean face, no cum on face",Facial cumshot,FLUIDS
FLUIDS_Saliva_Drool,"saliva, (excessive drooling:1.3), drool, spit, dripping saliva, mouth watering, saliva strings, wet mouth, messy drool, slobber","dry mouth, clean, no drool",Excessive drool and saliva,FLUIDS
FLUIDS_Swallowing,"(swallowing cum:1.3), (gulping semen:1.2), drinking cum, swallow after oral, throat swallow, cum going down throat","spitting, clean, no cum",Swallowing cum. Post-oral finish. Combos: ACTION_Oral_Blowjob; ACTION_Deepthroat; EXPRESSION_Lustful.,FLUIDS
